Title,Body,Tags
binary search divide conquer algorithm,ask binary search divide conquer algorithm exam answer yes divide problem small subproblem reach result examinator ask conquer part unable answer also disapprove actually divide conquer algorithm everywhere go web say would like know conquer part," algorithm, data-structures, computer-science, binary-search, divide-and-conquer"
alter table add composite primary key,table call provider three column call person place thing duplicate person duplicate place duplicate thing never dupicate person place thing combination would alter table add composite primary key table mysql three column," mysql, sql, primary-key, alter-table, composite-primary-key"
easy http request gzip deflate compression,try figure good way easily send http https request handle gzip deflate compress response along cookie good find httpsgithub commikealrequ handle everything except compression module method everything ask not combine request zlib manner try combine zlib http serverrequ fail miserably," http, node.js, https, gzip, deflate"
upload image available refresh page,upload picture file successfully save path successfully set uploaded image not display immediately form submit reload page uploaded image display save uploaded file inputstream try file file new file c\\\\\\documents\\netbeansprojects\\eventscalendary\\web\\resources\\images\\uploadphoto png event getfile getinputstream outputstream os new fileoutputstream file setuserphoto \\eventscalendary\\resources\\images\\file getname byte buf [ ] new byte[ ] int len len read buf os write buf len os close close catch ioexception ex system println ex getstacktrace uploaded image display reload page solve," jsf, jakarta-ee, servlets, file-upload, refresh"
handle facebook sharing like hashbang url,build website homepage open uri website lightbox ajax want use html push state hash bang fallback manage change state want url crawlable facebook shareable likeable user browser support html push state no problem share url example httpmyserver example facebook find appropriate og meta static content user use html browser url like httpmyserver example want able share facebook anyway look like facebook support _ escaped_fragment _ replacement method though would simply redirect request httpmyserver_escaped_fragment_example httpmyserver example everybody happy add rewrite condition htaccess rewritecond query_string ^_escaped_fragment_ [ ^ ] rewriterule http http_host [ rl ne ] problem not make work facebook facebook linter seem percent escape time part url hashbang result url like httpmyserverfexample land anybody know trick facebook not escape part url something apache mod_rewrite side also open valid ajax crawlable likeable url strategy," ajax, facebook, mod-rewrite, pushstate, hashbang"
shell script download youtube file playlist,try write bash script download youtube video playlist save specific file name base title youtube video far two separate piece code want not know combine together function unit piece code find title youtube video give page curl grep span classtitle video title cut d\ f cut d\ f piece code download file filename give youtube video e g filename give youtube comwatchvcsbvajelurefeaturerelmfu would csbvajelure flv curl grep watch cut d\ f read video youtube dl httpwww youtube comvideo want script output youtube flv file filename give title video case bash lesson flv rather simply video name thank advance help," bash, shell, download, cut, youtube-dl"
configure maven install skip test eclipse,wonder possible configure run maven install eclipse skip unit test thing doable please tell thank advance," eclipse, jakarta-ee, maven, m2eclipse, m2e"
choose video codec screen recording,series tutorial record screen voice png work well screenshot jpeg well suit photograph although lossy video encoding container format well screen recording please provide suggestion master copy editing archiving almost lossless distribution copy high compression acceptable loss point consider high quality video screen text legible good compression guess inter frame intra frame compression effective please mention recommend value configurable parameter like frame rate compression level etc close caption support not hard code onto video incline towards srt format viewable window linux macos," video, compression, video-capture, video-encoding, codec"
wpf good alternate directx opengl complex application,use wpf capability learning implementation find capable also learn directx tricky compare use class wpf use wpf basic stuff question wpf equally good advanced application modelling tool game engine simulation etc alternative directx opengl anything else league please mention," wpf, opengl, graphics, 3d, directx"
I make sublime text default editor git,problem set sublime text core editor git read every post could find address problem still nothing work run window git config global core editor cprogram file sublime text sublime_text exe try various argument like open gitconfig [ user ] name spencer moran email smorangmail com [ core ] editor cprogram file sublime text sublime_text exe go git type readme markdown edit readme file open notepad not sublime text anyone idea wrong could fix," git, editor, default, sublimetext, git-config"
I move commit no branch actual branch,make mistake start make commit last tag land commit no branch apply head already exist branch not push change yet find question commit wrong branch no branch not know handle preferably would like erase mistake entirely move change end right branch must leave mistake history need merge atleast," git, merge, branch, commit, git-branch"
set large software system delphi,software package year old go every version delphi besides net one year thing become confusing come cross reference keep proper setup additional package like third party library wonder standard practice come keep large project group project like organize explain current setup multi application system meaning executable project dll service project involve also keep thing sourcesafe multiple developer work code different computer project dump central folder root folder contain major exe project along folder contain unit form almost seem like endless hierarchy folder file one project alone half million line code involve additional application not necessarily separate properly major project project folder base main project root two major concern mine properly set dcu file not mix project dcus not place sourcesafe similar file matter otherwise file compile project visual sourcesafe make file read not check dcu file exe file not write case properly separate file remote location avoid mixture source code properly set package library following quickreport nativejpg library v another anonymous reporting library component package require quickreport nativejpg anonymous library library store completely different place computer need centralization big pain set new developer computer locate lead developer computer copy place computer make sure library path correct etc also need keep completely separate environment different version delphi computer mean copy project computer copy package library computer copy project package library sourcesafe etc computer need identical setup already utilize environment variable direct project look certain project file library another new concern xe introduce bit capability not plan bit compile yet certainly future properly differentiate bit bit project really ask reference good tutorial optimize environment keep organize good not expect anyone take time answer question project year old hand developer around world lot cross referencing project example one project may use unit another project vice versa personally not like concept also not design begin give task get system organize thoroughly document set delphi new computer new developer work project look project not necessarily developer system pull development see lot confusion code organize assume possibly embarcadero guideline standard set environment," delphi, development-environment, visual-sourcesafe, delphi-xe2, code-organization"
detect ie proxy setting use tidhttp,set tidhttp use ie proxy configuration compatible xp vista win reliable," delphi, internet-explorer, proxy, delphi-7, indy"
find meaningful sub sentence sentence,way find sub sentence sentence still meaningful contain least one subject verb predicate object example sentence like go seminar nlp sxsw austin next month extract follow meaningful sub sentence sentence go seminar go seminar nlp go seminar nlp sxsw go seminar sxsw go seminar austin go seminar nlp next month etc please note no deduced sentence e g nlp seminar sxsw next month although true not need part problem generate sentence strictly part give sentence approach solve problem think create annotated training datum set legal sub sentence sentence training datum set write supervised learning algorithm generate model quite new nlp machine learning would great guy could suggest way solve problem," parsing, artificial-intelligence, nlp, machine-learning, grammar"
algorithm generate random polygon,not sure approach problem not sure complex task aim algorithm generate polygon requirement polygon not complex e side not intersect use matlab math anything abstract welcome aid direction edit think code could generate polygon even thing like," algorithm, matlab, random, polygon, computational-geometry"
I need nest component rendered another component I want ajax update,find answer close find enough fix problem even curious understand working around let illustrate example facelet xhtml page look like shortned h form idresultform h panelgroup classsearch_form layoutblock h inputtext idlastname value search lastname h commandbutton action search find valuefind f ajax executelastname renderresultdisplay h commandbutton h panelgroup h datatable value search searchresult varresult idresultdisplay rendered empty search searchresult h column results field h column h datatable h form sake breivity not post back bean code something sort public void find searchresults setresults true searchresult arraylist object search not null check multiple test null not testing not work nest datatable inside another let say panelgroup work h panelgroup idresultdisplay h datatable value search searchresult varresult rendered empty search searchresult h column results field h column h datatable h panelgroup change allow everything work fine would okay guess seek bit understanding well insight nest component surely miss something," jsf, jsf-2, facelets, conditional-rendering, ajax-update"
I make jenkin job start multiple simultaneous upstream job succeed,order get fast feedback possible occasionally want jenkin job run parallel jenkin ability start multiple downstream job fork pipeline job finish however jenkin not seem way make downstream job start branch fork succeed join fork back together jenkin build project build button interpret start job upstream job finish not start job upstream job succeed visualization talk anyone know plugin exist edit originally post question jason answer join promote build plugin good solution go however dnozay answer build flow plugin make popular year question much well answer worth people ask question today recommend instead," jenkins, build, continuous-integration, jenkins-pipeline, jenkins-plugins"
compare two color similarity difference,want design program help assess pre define color one similar variable color percentage thing not know manually step step even difficult think program detail color photograph tube gel different color tube different color representative level want take photograph sample computer assess level sample belong compare color want know percentage approximation would like program something like httpwww colortools netcolor_matcher html tell step take even thing think manually would helpful," algorithm, colors, compare, rgb, hsv"
simple way remove trailing slash parameter,simple way remove trailing slash parameter array rsync copy directory name rsync exclude dir title change clarification understand comment answer multiple trail slash see edit history," bash, shell, arguments, rsync, stripslashes"
disk usage file whose name match regex linux,many situation want way know much disk space use know get rid convert another format store elsewhere data dvds move another partition etc case look windows partition slitaz linux bootable medium case want size file folder use ncurse base ncdu case want way get size file match regex example regex bak file \ bak get information consider standard linux core gnu utility busybox edit output intend parseable script," regex, linux, bash, sum, diskspace"
favorite disassembler tool mac os x,use otool nm fraise text editor disassemble mach binary workflow point pretty straightforward list existed symbol nm g get disasm code otool vt copy paste output text file read comment code text editor look tool simplify working disasm code mac os x," macos, assembly, disassembly, nm, otool"
extract public private key pkcs file later use ssh pk authentication,want extract public private key pkcs file later use ssh public key authentication right generate key via ssh keygen put ssh authorized_key respective somewhere client side future want use key pkcs container extract public key first pkcs put ssh authorized_key file chance get work via openssl key pkcs compatible ssh public key authentication," ssh, openssl, certificate, x509, pkcs#12"
teamviewer fast,sorry length kinda necessary introduction develop remote desktop software fun c windows vista get basic obstacle robust udp messaging system relatively clean program design get mirror driver free dfmirage mirror driver demoforge run implement nat traversal nat type except symmetric nat present corporate firewall situation regard screen transfer sharing thank mirror driver automatically notify change screen region simply marshal mirror driver ever change screen bitmap bitmap compress screen region png send server client thing look pretty good not fast enough slow vnc btw not use vnc protocol custom amateur protocol slow remote desktop software fast list usually begin vnc like implementation climb microsoft windows remote desktop teamviewer not quite sure crossloop logmein not use teamviewer insanely fast quite literally live run tree command command prompt update ms delay browse web millisecond slow laptop scroll code vertically visual studio ms lag time think robust teamviewer screen transfer solution must accomplish vnc use poll base hook detect screen change brute force screen capturing compare bad good use mirror driver like dfmirage level use something call rfb protocol microsoft windows remote desktop apparently go one step high vnc hear somewhere stackoverflow window remote desktop not send screen bitmap actual drawing command quite brilliant send simple text draw rectangle coordinate color gradient remote desktop really pretty fast standard way work home use something call rdp protocol teamviewer complete mystery apparently release source code version teamviewer version february people read say version useless improvement vnc automatic nat traversal version ridiculously fast mean actually fast window remote desktop stream directx game teamviewer fps windows remote desktop not even allow directx run way teamviewer without mirror driver option install one get bit fast question question teamviewer fast must not possible get resolution even bit depth bit depth would noticeably ugly still byte raw even use libjpeg turbo one fast jpg compression library use large corporation compress kb let extremely generous would take time route teamviewer server teamviewer bypass corporate symmetric nat simply proxye traffic server libjpeg turbo compression would take time compress high quality jpg compression take millisecond full screenshot number go host computer run atom processor simply not understand teamviewer optimize screen transfer well small size image might highly compress take least ten millisecond compress large size image take no time compress take long time get somehow teamviewer complete entire process get roughly frame per second use network monitor teamviewer still lagless speed kbps mbps vnc software lag second transfer rate tree command prompt test teamviewer receive inbound datum rate mbps still run fps vnc remote desktop not answer somewhat complicated intricate please not post go say use udp instead tcp would believe actually use tcp successfully though hope teamviewer developer somewhere stackoverflow potential answer update people reply thought first teamviewer fine network control example split large packet mtu size never waste trip probably sort fancy hook detect screen change along extremely fast xor image comparison," performance, network-programming, operating-system, udp, remote-desktop"
compiler error msgfmt command not find,try update git share hosting follow step download late git version unpack place server configure create makefile configure prefixhome dev git src without tcltk build package make make install update path bash_profile stuck point run make command get follow usersshdev git src make subdir gitweb subdir make[ ] git version file est jour gen git instaweb subdir perl subdir git_remote_helper subdir template msgfmt po build locale lc_messages git mo bin sh msgfmt command not find make [ po build locale lc_messages git mo ] erreur compiler throw msgfmt command not find error google seem relate gettext package idea fix error share hosting," git, compiler-errors, gettext, shared-hosting, msgfmt"
wcf data service odata vs asp net web api,design distribute application consist restful service variety client silverlight io window phone etc right determine technology use implement service wcf data service odata new asp net web api come asp net mvc watch presentation online right lean towards wcf data service primarily filtering mechanism build uri native hypermedia capability downside see verbosity atom pub specification oppose pox anything know two technology make decision would someone choose asp net web api wcf data service," wcf, rest, asp.net-web-api, wcf-data-services, odata"
use gson instead jackson jersey,restful service consume produce json object would like jersey use gson instead jackson," jaxb, jersey, jax-rs, jackson, gson"
difference digest basic authentication,difference digest basic authentication," http, authentication, https, basic-authentication, digest-authentication"
difference primary key unique key,use mysql database confusion primary key unique key please help create primary unique key mean situation create unique key primary key," mysql, sql, database, primary-key, unique-key"
use bidirectional bfs find short path,use bidirectional bfs find short path let say x grid start point end point short path use bidirectional bfs no path cost undirected," algorithm, path-finding, shortest-path, breadth-first-search, bidirectional"
fibonacci function memoize,mechanism fibonacci function memoized fib map fib [ ] fib fib fib n fib n fib n related note version not fib n map fib [ ] n fib fib fib n fib n fib n," haskell, lazy-evaluation, fibonacci, memoization, pointfree"
select count laravel fluent query builder,query use fluent query builder query dbtable category_issue select issue category_id join issues category_issue issue_id issues id left_join issue_subscription issues id issue_subscriptions issue_id group_by issues id order_by dbraw count issue_subscriptions issue_id desc get see order count joined table work fine however want count return selection raw sequel query work fine select issue count issue_subscriptions issue_id follower category_issue join issue category_issue issue_id issues id leave join issue_subscription issues id issue_subscriptions issue_id category_issue category_id group issues id order follower desc would go select use laravel fluent query builder aware use raw sql query would like avoid possible help would appreciate thank advance," mysql, activerecord, fluent, laravel, eloquent"
haproxy redirect http https ssl,use haproxy load balance want site support https thus would like redirect request port port would edit would like redirect url https preserve query param thus httpfoo combar would redirect httpsfoo combar," http, redirect, ssl, https, haproxy"
asm masm nasm fasm,arm assembly programming would like learn intel assembler keep hear different f n asm mentioned unsure relate wish achieve could somebody please help identify would need learn program low level intel architecture not quite understand different assembler correlate even x ia amd x etc help comfortable eclipse visual studio ide," assembly, intel, nasm, masm, fasm"
difference similarity ffmpeg libav avconv,run ffmpeg ubuntu show ffmpeg ffmpeg version v copyright c libav developer build feb gcc program not develop anymore provide compatibility use avconv instead see changelog list incompatible change show depend ubuntu version ffmpeg ffmpeg version ubuntu copyright c libav developer build jan gcc program deprecate program provide compatibility remove future release please use avconv instead find avconv httplibav org perplex," ubuntu, audio, ffmpeg, libavcodec, libav"
good way ajax pagination mongodb nodejs,mongodb nodejs connection via mongoosejs good way develop ajax infinity scroll use limit offset," ajax, node.js, mongodb, mongoose, infinite-scroll"
undo delete git,make something stupid make commit use git commit file edit new file c make amend last commit delete file recursively use git rm r make another git commit c b c master way undelete file keep change first commit c would rather not go back b try git reset soft head^ git status list file delete git checkout still no luck not even know possible," git, commit, delete-file, undo, undelete"
volume rendering use glsl ray cast algorithm,learn volume render use ray cast algorithm find good demo tuturial problem ati graphic card instead nvidia make not use cg shader demo want change cg shader glsl shader go red book edition opengl not familiar glsl cg anyone help change cg shader demo glsl material simple demo volume render use ray casting course glsl cg shader demo work friend nvidia graphic card confuse not know translate entry part cg glsl example struct vertex_fragment float position position rasterizer float texcoord texcoord float color texcoord float pos texcoord write program bind texture object texture unit shader provide assign two texcoord draw screen example glmultitexcoordf gl_texture glmultitexcoordf gl_texture demo program bind two texture one backface_buffer one volume texture one texture unit like glmultitexcoordf gl_texture x z think gl_texture unit volume texture one texure unit backface_buffer far know order bind texture obj shader must get texture unit bind example gllinkprogram p texloc glgetuniformlocation p tex volume_texloc glgetuniformlocation p volume_tex stepsizeloc glgetuniformlocation p stepsize gluseprogram p gluniformi texloc gluniformi volume_texloc gluniformf stepsizeloc stepsize render object program glactivetexture gl_texture glbindtexture gl_texture_d backface_buffer glactivetexture gl_texture glbindtexture gl_texture_d volume_texture program compile fine link ok get three location texloc volume_texloc stepsizeloc know may optimize anyone help translate cg shader glsl shader edit interest modern opengl api implementation c source code glsl volume_rendering_using_glsl," opengl, glsl, demo, raycasting, volume-rendering"
display database blob image inside,use primeface jboss try display image store blob mysql database ui repeat image store byte [ ] convert streamedcontent follow inputstream stream new bytearrayinputstream ingredient getimage ingredient setjsfimage new defaultstreamedcontent stream image jpg try display facelet follow ui repeat varingredient value formbean ingredientresultset p panel idresultspanel header ingredient location shopname p graphicimage value ingredient jsfimage altno picture set however load page get follow error jboss severe [ org primefaces application primeresourcehandler ] http error stream dynamic resource cause solve," jsf, primefaces, dynamic-content, uirepeat, graphicimage"
debug custom bootstrap application,use burn msis package use votive visual studio custom ba instead wixba try debug custom ba use debugger launch start debug error message occur no symbol load call stack frame source code not display realize package exe link customba dll locate c\document settings\user\local settings\temp\ guid \ guid always change whenever run package exe always directory change think reason occur error visual studio start package exe customba dll locate absolute path debug bin customba dll execute package exe link local settings\temp\ guid directory start debug attach customba dll customba dll directory dynamically change no symbol load error occur package exe link dll locate c\document settings\user\local settings\temp\ guid \ choose path dll statically not choose dll path statically use debug function customba," wix, windows-installer, wix3.6, burn, votive"
os scheduler regain control cpu,recently start learn cpu operate system work bit confused operation single cpu machine operate system provide multitaske suppose machine single cpu would mean give time one process could run assume scheduler use operating system control access precious cpu time also process thus machine either user process scheduling system process run give point time not question scheduler give control cpu another process regain cpu time run scheduling work mean give process currently run not yield cpu could scheduler ever run ensure proper multitasking far think well user process request operation system call system call could ensure scheduler allocate cpu time not even sure work way hand user process question inherently cpu bind point view could run forever never let process not even scheduler run suppose time slice scheduling no idea scheduler could slice time execution another process not even run would really appreciate insight reference provide regard," multithreading, operating-system, multiprocessing, scheduling, multitasking"
free rest api retrieve current datetime string timezone irrelevant,seek reliable rest api provide world time time zone information across platform need current time string would like return result second regardless user location worldwide among implementation want use consistent countdown timer accurate user [ possibly inaccurate ] computer time gmt another time zone long time zone offset specify like est would build api concern potential latency issue well inelegance filter someone whole big software stack like rail return simple string excessive latency user far away us east coast would offset benefit accuracy task require suggestion andor example appreciate," rest, api, time, timer, timezone-offset"
deploy heroku use git bitbucket,want host source bitbucket use git obviously get free private repo want host app heroku use source code bitbucket use github client heroku toolbelt work github great not want everyone see code not want pay private repo small project," git, heroku, github, bitbucket, heroku-toolbelt"
recommend date format rest get api,recommend timestamp format rest get api like httpapi example comstart_date timestamp think actual date format iso format yyyy mm ddthh mm ssz utc time use iso version without hyphen colon httpapi example comstart_dateyyyymmddthhmmssz encode iso format use example base encoding," http, url, rest, date, get"
I find formal grammar matlab,would like write lexer generator convert basic subset matlab language c c etc help would like find document contain formal grammar matlab spend bit time investigate seem mathwork not provide one anyone know could find document," matlab, grammar, lexer, matlab-deployment, formal-languages"
I mock static method return void powermock,static util method project pass throw exception lot example mock static method return type void mock static method return void donothing non void version use line code preparefortest staticresource class powermockito mockstatic staticresource class mockito staticresource getresource string thenreturn stre however apply staticresource return void compile complain not applicable void idea workaround would probably static method return boolean success dislike workaround," static, mocking, mockito, void, powermock"
ide comment keyword,recently discover todo comment not know modern ide recognize word comment flag comment line different colour stand eg need talk bill refactore code todo need talk bill refactore code may notice ide like eclipse rubymine highlight todo comment nice feature question keyword like todo seem like much well way communicating developer comment feature bit widely know ide purpose help development," eclipse, ide, comments, rubymine, todo"
not import database phpmyadmin file size large,try import database phpmyadmin database file sql size gb try import local phpmyadmin say probably try upload large file please refer documentation way workaround limit please help really need work," mysql, database, apache, phpmyadmin, wampserver"
mvc less bundle import directory,try use mvc bundle group less file look like import path use directory structure static less mixins less admin user less user less attempt import mixins less use import mixins less use work use chirpy dotless notice elmah get mad say system io filenotfoundexception import file end less not find file name mixins less suppose use different import mvc additional info less class global asax cs code use attempt lessminify cs public class lessminify cssminify public lessminify public override void process bundlecontext context bundleresponse response response content less parse response content base process context response global asax cs dynamicfolderbundle lessfb new dynamicfolderbundle less new lessminify less bundletable bundles add lessfb bundle adminless new bundle adminlessbundle new lessminify adminless addfile static less admin user less bundletable bundles add adminless," import, asp.net-mvc-4, bundle, less, asp.net-optimization"
get cmd left right work iterm vim without require vimrc change,want able use option leave option right skip word cmd leave right go beginning end line within vim shell prompt iterm preference mapping e g option leave esc h one option right esc f skip word work shell locally sshd remote server use vim locally remotely option leave work option right not suspect vim naturally listen esc h not esc f able get around modify vimrc file esc b b esc f f not want every server connect similarly desire setup cmd leave right go beginning end line get work shell via iterm mapping e g cmd leave esc[ h vim not respond unless map key e g esc[ h ^ update figure get option leave right working change mapping iterm escape[ escape[ c respectively still want solve cmd leave right problem though change question title reflect idea," macos, shell, vim, keyboard-shortcuts, iterm"
replace vector image pdf raster image,easy scriptable way convert pdf vector image pdf raster image word want generate pdf exact un rasterized text vector image replace rasterized version occasionally read pdfs technical article kindle find read pdf directly frustrating thankfully amazon automatic conversion pdfs kindle format good job reflowe text portion pdfs try however raster image seem make conversion process fine vector image get horribly mangle would great could easily convert pdf vector image rasterize interested possible solution linux window base one would preferable," pdf, vector-graphics, file-conversion, image-conversion, rasterizing"
check validity remote git repository url,within bash script would simple way verify git url point valid git repo script access read protocol support git https git curl fail git protocol gitgithub com username example git httpsusernamegithub comusernameexample git gitgithub comusernameexample git note not ask check see url syntactically correct need verify repo exist url location enter within bash script," git, bash, url, curl, github"
use jms use rest,besides asynchronous synchronous nature particular problem take account mom case choose jms offer additional feature free like load balancing else one consider choose jms rather rest vice versa thank," rest, asynchronous, jms, integration, synchronous"
current_timestamp millisecond,way get millisecond timestamp mysql postgresql curiosity select current_timestamp anything like select current_millisec alternative use datediff era," mysql, sql, postgresql, datetime, timestamp"
set git aptana studio,new git use aptana everything really want use work git well problem run everything read seem gear towards people know git idea go neither never even use github not even clone project far get aptana setup go preference set path git executable restart everything appear accept new path however nothing different read forum suppose access git command commit command no push pull step step documentation website tutorial anything git noob aptana spend day try figure shop really want set run tomorrow current project never use either learn set linux machine figure mac know issue stem bit far get set would satisfied know proper push pull central repository get set well tutorial hand hold anything available thank," git, github, repository, aptana, aptana3"
jenkins j_acegi_security_check,try setup jenkin not get authentication work run jenkin tomcat centos enable log everything go fine try log give credential press login tomcat give error http status request resource not available httpmyserver jenkin j_acegi_security_check google find httpsissues jenkinsci orgbrowsejenkins two suggest fix find run jenkin tomcat instead run standalone version already edit file web inf security securityfilters groovy try edit not get change anything something could make work," authentication, tomcat, continuous-integration, installation, jenkins"
couchdb search filter key array,view function emit [ doc address country doc address state doc address city ] doc query search need element array fill example key[ usnynew york ] produce record let say example want return everything us example key[ us ] us state key[ usny ] let say perhaps want record ny know not work key[ ny ] not really get search want leave one element array empty," arrays, view, arraylist, couchdb, key"
sudo port command not find,recently uninstalle xcode instal xcode command line tool instal instal macport use dmg disk image lion macports org since get sudo port command not find every use port follow post create bash_profile file wa not present early put following no avail export pathpathopt local bin export manpathmanpathopt local share man export infopathinfopathopt local share info follow post git master rvm install openssl diropt local request build usr bin gcc not path git master vi rvmrc rvm_archflagsarch x_ export ccusr bin gcc export cflagso arch x_ export ldflagsl opt local lib export cppflagsi opt local include rename bash_profile profile git master vi bash_profile git master mv bash_profile profile git master mv profile usage mv [ f n ] [ v ] source target mv [ f n ] [ v ] source directory git master mv f bash_profile profile mv rename bash_profile profile no file directory git master port zsh correct port pr [ nyae ] n zsh command not find port git master port port not find git master profile content export pathpathopt local bin export manpathmanpathopt local share man export infopathinfopathopt local share info," terminal, osx-lion, macports, xcode4.3, .bash-profile"
safe enable cor,develop json rest web api specifically want third party website able call service ajax hence service send famous cor header access control allow origin allow third party site call service ajax fine far however subsection web api non public require authentication pretty standard stuff oauth access_token cookie safe enable cor part site well one hand would cool third party website could ajax client also interact part service however reason origin policy first place might risky not want website visit afterwards able access private content scenario afraid user log web api either website website trust forget logout allow every website vist afterwards access private content use exist session question ever safe enable cor non public content cor enable server set session_token cookie cookie save domain cor server main web page server," ajax, web-services, security, cross-domain, cors"
store image database directly base datum,common method store image database convert image base datum store datum process increase size alternatively possible directly store image blob example image new imagick image jpg datum imagegetimageblob datum mysqlireal_escape_string data mysqliquery insert image datum value datum display image img srcdata image jpegbase base_encode data latter method save storage space common store image base mysql database update many debate advantage disadvantage store image database people believe not practical approach anyway assume store image database discuss good method," mysql, database, image, imagemagick, base64"
trouble convert long list data frame million single data frame use call ldply,know many question way convert list data frame single data frame use call ldply question understand inner working method try figure not get either work concatenate list almost million dfs structure field name etc single data frame data frame one row column datum start json file convert list use fromjson run another lapply extract part list convert data frame end list data frame try df call rbind list df ldply list kill process let run hour not get anything back efficient method troubleshoot happen take long fyi use rstudio server gb quad core server rhel not think memory problem sessioninfo sessioninfo r version platform x_ redhat linux gnu bit locale [ ] lc_ctype en_us utf lc_numeric c [ ] lc_time en_us utf lc_collate en_us utf [ ] lc_monetary en_us utf lc_message en_us utf [ ] lc_paper c lc_name c [ ] lc_address c lc_telephone c [ ] lc_measurement en_us utf lc_identification c attach base package [ ] stat graphic grdevice util dataset method base attached package [ ] multicore_ plyr_ rjson_ load via namespace not attach [ ] tools_," performance, r, plyr, data.table, do.call"
represent graph haskell,easy enough represent tree list haskell use algebraic datum type would go typographically represent graph seem need pointer guess could something like type nodetag string type neighbour [ nodetag ] datum node node nodetag neighbour would workable however feel bit decouple link different node structure not really feel solid link current previous next element list parent child node tree hunch algebraic manipulation graph define would somewhat hinder level indirection introduce tag system primarily feeling doubt perception inelegance cause ask question well mathematically elegant way define graph haskell stumble upon something inherently hard fundamental recursive datum structure sweet seem something else self referential data structure different sense tree list self referential like list tree self referential type level graph self referential value level really go," haskell, types, graph, functional-programming, algebraic-data-types"
